Item,Quantity,Source,Running Total ( NPR with shipping ) ,Running Total ( $ with shipping ) 
Servos 20KG,1,https://www.daraz.com.np/products/sutuiying-waterproof-20kg-25kg-30kg-35kg-servo-180-degree-270-degree-luxury-large-torque-digital-servo-metal-gears-for-rc-car-truck-i349045021-s1538734255.html?,1095,9.24
Servo Micro,4,https://www.daraz.com.np/products/14classic-micro-mini-servos-9g-sg90-mg90s-for-rc-planes-fixed-wing-aircraft-model-telecontrol-aircraft-parts-toy-motors-i507534899-s2274279222.html?,2901,22.82
Micro Servo,1,https://www.daraz.com.np/products/towerpro-sg90-continuous-rotation-360-degree-servo-motor-i296219333-s1369111036.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Amicro%252Bservo%253Bnid%253A296219333%253Bsrc%253ALazadaMainSrp%253Brn%253A9308ec1ee0dbd9ee9db0389310610531%253Bregion%253Anp%253Bsku%253A296219333_NP%253Bprice%253A249%253Bclient%253Adesktop%253Bsupplier_id%253A900151926015%253Bbiz_source%253Ah5_external%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A296219333%253Bsku_id%253A1369111036%253Bshop_id%253A35700%253BtemplateInfo%253A-1_A3_C%25231120_L%2523&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=249&priceCompare=skuId%3A1369111036%3Bsource%3Alazada-search-voucher%3Bsn%3A9308ec1ee0dbd9ee9db0389310610531%3BoriginPrice%3A24900%3BdisplayPrice%3A24900%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1767070538983&ratingscore=4.857142857142857&request_id=9308ec1ee0dbd9ee9db0389310610531&review=7&sale=75&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1,249,2.87
Board Servo,1,https://www.daraz.com.np/products/pca9685pw-1-ery-12-pwm-server-sulfer-i2c-pcood5-mughod-mouday-i416564351-s1792569966.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Aboard%252Bservo%253Bnid%253A416564351%253Bsrc%253ALazadaMainSrp%253Brn%253A9445098c8286b714910b5972e79a8a92%253Bregion%253Anp%253Bsku%253A416564351_NP%253Bprice%253A1219%253Bclient%253Adesktop%253Bsupplier_id%253A900273856834%253Bbiz_source%253Ah5_external%253Bslot%253A19%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A416564351%253Bsku_id%253A1792569966%253Bshop_id%253A191864%253BtemplateInfo%253A-1_A3_C%25231120_L%2523&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=1219&priceCompare=skuId%3A1792569966%3Bsource%3Alazada-search-voucher%3Bsn%3A9445098c8286b714910b5972e79a8a92%3BoriginPrice%3A121900%3BdisplayPrice%3A121900%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1767070603072&ratingscore=&request_id=9445098c8286b714910b5972e79a8a92&review=&sale=0&search=1&source=search&spm=a2a0e.searchlist.list.19&stock=1,1219,10.17
Arduino UNO,1,https://www.daraz.com.np/products/arduino-uno-r3-smd-i129085823-s1037101017.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253AArduino%252Buno%253Bnid%253A129085823%253Bsrc%253ALazadaMainSrp%253Brn%253Ac022fc75ac0196aa730ad5aff727e792%253Bregion%253Anp%253Bsku%253A129085823_NP%253Bprice%253A1250%253Bclient%253Adesktop%253Bsupplier_id%253A900153843010%253Bbiz_source%253Ah5_external%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002725%253Bitem_id%253A129085823%253Bsku_id%253A1037101017%253Bshop_id%253A65810%253BtemplateInfo%253A-1_A3_C%25231120_L%2523&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=1.25E%203&priceCompare=skuId%3A1037101017%3Bsource%3Alazada-search-voucher%3Bsn%3Ac022fc75ac0196aa730ad5aff727e792%3BoriginPrice%3A125000%3BdisplayPrice%3A125000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1767070682369&ratingscore=4.7&request_id=c022fc75ac0196aa730ad5aff727e792&review=10&sale=89&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1,1250,10.4
Potentiometers,5,https://www.daraz.com.np/products/potentiometer-1k5k10k100k-5-pcs-i125469178-s1134645078.html?,185,2.39
Screws Set,1,https://www.daraz.com.np/products/400pcs-flat-head-wood-screws-assortment-kit-phillips-tips-screw-set-m2x4mm-20mm-self-tapping-screws-wood-screw-i500022884-s2238217035.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Ascrew%252Bset%253Bnid%253A500022884%253Bsrc%253ALazadaMainSrp%253Brn%253A666de0b793c9c4edde102703dd5289cf%253Bregion%253Anp%253Bsku%253A500022884_NP%253Bprice%253A908%253Bclient%253Adesktop%253Bsupplier_id%253A900279168309%253Bbiz_source%253Ah5_external%253Bslot%253A19%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000450%253Bitem_id%253A500022884%253Bsku_id%253A2238217035%253Bshop_id%253A198893%253BtemplateInfo%253A-1_A3_C%25231120_L%2523&configId=choice_NP_promotion&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=908&priceCompare=skuId%3A2238217035%3Bsource%3Alazada-search-voucher%3Bsn%3A666de0b793c9c4edde102703dd5289cf%3BoriginPrice%3A90800%3BdisplayPrice%3A90800%3BsinglePromotionId%3A50000022346003%3BsingleToolCode%3AshopPromPrice_choiceEarlyBird%3BvoucherPricePlugin%3A0%3Btimestamp%3A1767071206119&ratingscore=&request_id=666de0b793c9c4edde102703dd5289cf&review=&sale=206&search=1&source=search&spm=a211g0.searchlist.list.19&stock=1&upItemIds=500022884,908,7.83
Wire and Connectors,1,https://www.daraz.com.np/products/40-pcs-jumper-wire-male-to-female-40-pcs-i174446960-s1196179318.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Awires%252Band%252Bconnectors%253Bnid%253A174446960%253Bsrc%253ALazadaMainSrp%253Brn%253Ad0d679ffd7e11ea7f2025197c272b1cc%253Bregion%253Anp%253Bsku%253A174446960_NP%253Bprice%253A199%253Bclient%253Adesktop%253Bsupplier_id%253A1010313%253Bbiz_source%253Ah5_external%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10001501%253Bitem_id%253A174446960%253Bsku_id%253A1196179318%253Bshop_id%253A20069%253BtemplateInfo%253A-1_A3_C%25231120_L%2523&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=199&priceCompare=skuId%3A1196179318%3Bsource%3Alazada-search-voucher%3Bsn%3Ad0d679ffd7e11ea7f2025197c272b1cc%3BoriginPrice%3A19900%3BdisplayPrice%3A19900%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1767071172105&ratingscore=4.529411764705882&request_id=d0d679ffd7e11ea7f2025197c272b1cc&review=17&sale=117&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1,199,2.5
T-Plugs,1,https://www.daraz.com.np/products/2pcs-14awg18awg-4cm-deans-t-plug-male-female-to-tamiya-ec2-mini-tamiya-male-female-connector-adaptor-plug-for-rc-battery-esc-i507544952-s2274373384.html?,798,7
Controller Push Button,1,https://www.daraz.com.np//products/i127918298-s1034939255.html?spm=a2o42.cart.0.0.49b46af7adUl4M&urlFlag=true,199,2.5
